have;;had;had;1
do;;did;done;1
say;;said;said;1
go;;went;gone;1
get;;got;got,gotten;1
make;;made;made;1
know;;knew;known;1
think;;thought;thought;1
take;;took;taken;1
see;;saw;seen;1
come;;came;come;1
want;;wanted;wanted;1
use;;used;used;1
find;;found;found;1
give;;gave;given;1
tell;;told;told;1
work;;worked;worked;1
call;;called;called;1
try;;tried;tried;1
ask;;asked;asked;1
need;;needed;needed;1
fell;;felt;felt;1
become;;became;become;1
leave;;left;left;1
put;;put;put;1
mean;;meant;meant;1
keep;;kept;kept;1
let;;let;let;1
begin;;began;begun;1
seem;;seemed;seemed;1
help;;helped;helped;1
show;;showed;shown;1
hear;;heard;heard;1
play;;played;played;1
run;;ran;run;1
move;;moved;moved;1
live;;lived;lived;1
believe;;believed;believed;1
bring;;brought;brought;1
happen;;happened;happened;1
write;;wrote;written;1
sit;;sat;sat;1
stand;;stood;stood;1
lose;;lost;lost;1
pay;;paid;paid;1
meet;;met;met;1
include;;included;included;1
continue;;continued;continued;1
set;;set;set;1
learn;;learnt,learned;learnt,learned;1
change;;changed;changed;1
lead;;led;led;1
understand;;understood;understood;1
watch;;watched;watched;1
follow;;followed;followed;1
stop;;stopped;stopped;1
create;;created;created;1
speak;;spoke;spoken;1
grow;;grew;grown;1
open;;opened;opened;1
walk;;walked;walked;1
win;;won;won;1
teach;;taught;taught;1
offer;;offered;offered;1
remember;;remembered;remembered;1
consider;;considered;considered;1
appear;;appeared;appeared;1
buy;;bought;bought;1
serve;;served;served;1
die;;died;died;1
send;;sent;sent;1
build;;built;built;1
stay;;stayed;stayed;1
fall;;fell;fallen;1
cut;;cut;cut;1
reach;;reached;reached;1
kill;;killed;killed;1
raise;;raised;raised;1
pass;;passed;passed;1
sell;;sold;sold;1
decide;;decided;decided;1
return;;returned;returned;1
explain;;explained;explained;1
hope;;hoped;hoped;1
develop;;developed;developed;1
carry;;carried;carried;1
break;;broke;broken;1
receive;;received;received;1
agree;;agreed;agreed;1
support;;supported;supported;1
hit;;hit;hit;1
produce;;produced;produced;1
eat;;ate;eaten;1
cover;;covered;covered;1
catch;;caught;caught;1
draw;;drew;drawn;1
choose;;chose;chosen;1
lift;;lifted;lifted;1
refuse;refusing;refused;refused;1
fear;fearing;feared;feared;1
fit;fitting;fitted;fitted;-1
